station_id	station_code	station_name	datetime	name	value
29614	VAGEOTR	Otra	2017-01-23T13:30:00Z	TOC_mg_L	2.3
29614	VAGEOTR	Otra	2017-01-23T13:30:00Z	a250	4.41
29614	VAGEOTR	Otra	2017-01-23T13:30:00Z	a254	4.29
29614	VAGEOTR	Otra	2017-01-23T13:30:00Z	a365	0.93
29614	VAGEOTR	Otra	2017-01-23T13:30:00Z	SUVA_254	53.64
29614	VAGEOTR	Otra	2017-01-23T13:30:00Z	E2_E3	4.75
29614	VAGEOTR	Otra	2017-02-06T17:53:00Z	TOC_mg_L	2.2
29614	VAGEOTR	Otra	2017-02-06T17:53:00Z	a250	3.86
29614	VAGEOTR	Otra	2017-02-06T17:53:00Z	a254	3.75
29614	VAGEOTR	Otra	2017-02-06T17:53:00Z	a365	0.78
29614	VAGEOTR	Otra	2017-02-06T17:53:00Z	SUVA_254	58.63
29614	VAGEOTR	Otra	2017-02-06T17:53:00Z	E2_E3	4.93
29614	VAGEOTR	Otra	2017-03-06T10:15:00Z	TOC_mg_L	3.2
29614	VAGEOTR	Otra	2017-03-06T10:15:00Z	a250	5.81
29614	VAGEOTR	Otra	2017-03-06T10:15:00Z	a254	5.65
29614	VAGEOTR	Otra	2017-03-06T10:15:00Z	a365	1.18
29614	VAGEOTR	Otra	2017-03-06T10:15:00Z	SUVA_254	56.68
29614	VAGEOTR	Otra	2017-03-06T10:15:00Z	E2_E3	4.94
29614	VAGEOTR	Otra	2017-04-03T09:20:00Z	TOC_mg_L	2.2
29614	VAGEOTR	Otra	2017-04-03T09:20:00Z	a250	4
29614	VAGEOTR	Otra	2017-04-03T09:20:00Z	a254	3.89
29614	VAGEOTR	Otra	2017-04-03T09:20:00Z	a365	0.81
29614	VAGEOTR	Otra	2017-04-03T09:20:00Z	SUVA_254	56.57
29614	VAGEOTR	Otra	2017-04-03T09:20:00Z	E2_E3	4.92
29614	VAGEOTR	Otra	2017-05-08T11:00:00Z	TOC_mg_L	2
29614	VAGEOTR	Otra	2017-05-08T11:00:00Z	a250	3.2
29614	VAGEOTR	Otra	2017-05-08T11:00:00Z	a254	3.12
29614	VAGEOTR	Otra	2017-05-08T11:00:00Z	a365	0.6
29614	VAGEOTR	Otra	2017-05-08T11:00:00Z	SUVA_254	64.13
29614	VAGEOTR	Otra	2017-05-08T11:00:00Z	E2_E3	5.34
29614	VAGEOTR	Otra	2017-06-06T12:40:00Z	TOC_mg_L	2
29614	VAGEOTR	Otra	2017-06-06T12:40:00Z	a250	3.19
29614	VAGEOTR	Otra	2017-06-06T12:40:00Z	a254	3.11
29614	VAGEOTR	Otra	2017-06-06T12:40:00Z	a365	0.64
29614	VAGEOTR	Otra	2017-06-06T12:40:00Z	SUVA_254	64.22
29614	VAGEOTR	Otra	2017-06-06T12:40:00Z	E2_E3	4.98
29614	VAGEOTR	Otra	2017-07-03T09:00:00Z	TOC_mg_L	2.5
29614	VAGEOTR	Otra	2017-07-03T09:00:00Z	a250	4.41
29614	VAGEOTR	Otra	2017-07-03T09:00:00Z	a254	4.3
29614	VAGEOTR	Otra	2017-07-03T09:00:00Z	a365	0.88
29614	VAGEOTR	Otra	2017-07-03T09:00:00Z	SUVA_254	58.16
29614	VAGEOTR	Otra	2017-07-03T09:00:00Z	E2_E3	5.03
29614	VAGEOTR	Otra	2017-08-07T11:15:00Z	TOC_mg_L	3.3
29614	VAGEOTR	Otra	2017-08-07T11:15:00Z	a250	6.54
29614	VAGEOTR	Otra	2017-08-07T11:15:00Z	a254	6.36
29614	VAGEOTR	Otra	2017-08-07T11:15:00Z	a365	1.35
29614	VAGEOTR	Otra	2017-08-07T11:15:00Z	SUVA_254	51.89
29614	VAGEOTR	Otra	2017-08-07T11:15:00Z	E2_E3	4.86
29614	VAGEOTR	Otra	2017-09-11T08:31:00Z	TOC_mg_L	5
29614	VAGEOTR	Otra	2017-09-11T08:31:00Z	a250	9.42
