Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29617	?STEGLO	Glomma	09.04.2018 12:30	338.035	7.25	6.94	18	10.3	3.7	15	38	730	58	885	4.457								
29617	?STEGLO	Glomma	07.05.2018 13:15	1328.732	6.95	4.62	13	11.2	6.3	11	18	360	28	665	4.629	0.24	0.4	0.018	1.99	5.5	1.08	0.42	
29617	?STEGLO	Glomma	14.05.2018 11:45	2996.343	7.04	3.09	15	19.3	5.3	20	32	100	<2	300	4.05								
29617	?STEGLO	Glomma	23.05.2018 12:30	1957.278	7.12	3.76	5.9	7.58	3.5	9	16	150	<2	360	3.236								
29617	?STEGLO	Glomma	04.06.2018 11:30	1250.807	7.37	4.42	1.9	3.47	2.7	4	7	260	15	360	2.871								
29617	?STEGLO	Glomma	13.06.2018 12:30	783.728	7.37	4.38	3.1	3.58	2.4	9	8	190	23	390	2.614								
29617	?STEGLO	Glomma	25.06.2018 12:10	418.482	7.31	4.6	2.2	2.65	2.5	2	7	220	5	380	2.507								
29617	?STEGLO	Glomma	18.07.2018 13:00	337.67	7.33	4.78	1.9	2.09	2.4	3	8	210	3	350	2.55								
29617	?STEGLO	Glomma	06.08.2018 12:10	549.235	7.44	4.99	2.3	4.01	2.2	4	9	190	11	350	2.186	0.15	0.102	0.005	1.06	1.1	0.49	0.094	
29617	?STEGLO	Glomma	03.09.2018 13:00	632.652	7.47	4.58	1.6	2.72	2.6	2	6	200	12	350	2.314								
29617	?STEGLO	Glomma	01.10.2018 12:40	664.199	7.33	4.71	2.2	2.73	3.3	8	11	350	10	440	2.743	0.12	0.103	0.004	1.26	3	0.55	0.13	
29617	?STEGLO	Glomma	06.11.2018 14:30	582.127	7.18	4.99	2	2.14	2.8	2	6	530	<2	660	3.021								
29617	?STEGLO	Glomma	03.12.2018 14:15	777.194	7.16	5.89	14	12.1	5.5	16	23	1190	<2	1400	4.393								
29617	?STEGLO	Glomma	07.01.2019 14:50	442.254	7.11	4.89	1.3	1.21	3.7	2	6	420	33	500	3.75								
29617	?STEGLO	Glomma	05.02.2019 07:15	573.101	7.2	4.92	1	0.93	2.4	2	5	340	31	470	3.557	0.11	0.09	0.01	1.09	13.8	0.55	0.12	
29617	?STEGLO	Glomma	05.03.2019 07:00	511.977	7.02	7.21	24	21.5	4.1	22	36	1100	<2	1600	4.629								
29617	?STEGLO	Glomma	01.04.2019 05:40	527.63	7.07	5.74	6.2	5.23	4.2	7	10	670	<2	830	4.05								
29617	?STEGLO	Glomma	06.05.2019 06:00	1384.917	7.03	4.06	7.5	11.6	5.8	9	17	280	10	500	4.071	0.17	0.325	0.02	2.26	6.6	0.85	0.27	
29617	?STEGLO	Glomma	14.05.2019 11:45	1251.631	6.87	4.07	3	5.38	4.1	7	12	220	<2	410	3.257								
29617	?STEGLO	Glomma	20.05.2019 14:00	1208.818	6.95	3.91	3.7	5.03	5.3	9	11	260	20	520	3.407								
29617	?STEGLO	Glomma	03.06.2019 05:20	1506.509	7.05	4	3.1	7.33	3.7	7	14	290	13	450	3.15								
29617	?STEGLO	Glomma	17.06.2019 10:30	1976.861	7.24	4.83	15	14	4.6	2	62	500	<2	770	4.071								
29617	?STEGLO	Glomma	24.06.2019 11:55	1564.872	7.26	4.46	6.5	7.4	4.4	8	15	350	4	510	3.643								
29617	?STEGLO	Glomma	08.07.2019 11:45	703.657	7.36	4.58	2.5	3.65	3.5	5	10	270	17	440	2.807								
29617	?STEGLO	Glomma	05.08.2019 09:30	519.012	7.45	5.02	1.7	2.88	2.8	4	8	240	7	390	2.7	0.16	0.116	0.006	1.23	1.5	0.53	0.13	
29617	?STEGLO	Glomma	02.09.2019 10:20	877.786	7.13	5.18	16	17.3	4.8	16	30	490	11	700	2.807								
29617	?STEGLO	Glomma	07.10.2019 06:40	799.601	7.09	5.02	6.4	7.4	5	7	14	390	2	620	3.429	0.17	0.24	0.01	1.46	3.3	0.89	0.33	
29617	?STEGLO	Glomma	06.11.2019 07:45	634.57	7.08	4.92	10	8.66	6.8	9	19	410	<2	630	4.157								
29617	?STEGLO	Glomma	02.12.2019 07:15	649.629	6.92	5.3	17	12.8	7.8	15	26	550	4	770	5.464								
38005	TROEML2	Målselv	07.01.2019 11:00	81.832	7.51	7.52	0.72	1.5	1.4	<1	5	98	42	290	2.571								
38005	TROEML2	Målselv	04.02.2019 12:00	47.696	7.57	8.08	4.1	3.44	0.94	4	5	78	6	140	2.657	0.059	0.089	<0.003	0.69	0.93	0.48	0.22	
38005	TROEML2	Målselv	04.03.2019 12:30	120.564	7.54	9.19	0.89	1.14	1.7	1	5	130	3	240	3								
38005	TROEML2	Målselv	01.04.2019 12:00	76.166	7.52	8.12	0.7	0.9	1.2	2	5	240	2	240	2.614								
